id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:plant number (from tag or map),field:plant health condition,field:foliage - insect feeding,field:foliage - deformation,field:foliage health comments,field:woody tissue -  structural damage,field:woody tissue - signs of disease,field:woody tissue - insect activity,field:woody tissue - symptoms,field:woody tissues health comments,field:root collar - signs of disease,field:root collar health comments,field:critical root zone (within canopy drip line) - damage or concerns,field:other abnormalities comments,field:are baby redcedar trees present within sight?,field:brief tree health description,field:did the tree have any bark discoloration (eg. browning),field:dieback percent,field:evidence of wood borers or bark beetles?,field:leaf production or drop timing,field:location name - community spaces,field:location type - community spaces,field:most prevalent understory species,field:number of additional unhealthy trees (of same species) in area (within sight),field:optional - access to water,field:optional - estimated time spent to make this observation (# of minutes),field:optional - signs of sap sucker feeding?,field:optional - tree size,field:optional - what 'other factors' were observed?,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:percent canopy affected (%),field:powdery mildew - percent coverage,field:powdery mildew?,field:sample submitted to laboratory?,field:signs of sooty bark disease?,field:suspected phytophthora infection?,field:tree canopy symptoms,field:tree canopy symptoms - birch,field:tree canopy symptoms - maple,field:tree canopy symptoms - wrc - simplified,field:tree condition,field:tree diameter,field:tree diameter (inches),field:tree equity score,field:tree health condition,field:tree health issue,field:tree height total (ft),field:tree number,field:tree number (from google map) if applicable,field:urban tree health condition
345549023,777973ae-49fd-4142-9cd8-5158d4598c71,2026-03-27,2026-03-27,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-03-27 21:31:19 UTC,2026-03-27 21:38:08 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/345549023,https://inaturalist-open-data.s3.amazonaws.com/photos/629749279/medium.jpg,,"","",0,0,true,,"3600, Port of Tacoma RD",47.245161,-122.387528,183,,,,183,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,Grand Fir,Abies grandis,grand fir,Plantae,63690,8-6,Dead,None,None,No foliage,Other,None,None,Other,It seems as though this tree is dead.,None,Tree seems dead but did not see any roots nor the root collar,Other,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345565404,b35be14c-ebbb-440a-805b-8e8dad76318e,2026-03-27,2026-03-27,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-03-27 23:08:31 UTC,2026-03-27 23:09:34 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/345565404,https://inaturalist-open-data.s3.amazonaws.com/photos/629781894/medium.jpg,,"","",0,0,true,,"3600, Port of Tacoma RD",47.245161,-122.387528,183,,,,183,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,Western Hemlock,Tsuga heterophylla,western hemlock,Plantae,48254,7-4,Poor,Other,High,Foliage for this tree seems to be dying. Many are browning while some are yellowing. Very few healthy looking pines,None,Not Sure,None,None,N/A,Not Sure,Could not see root collar.,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345582412,bb785c33-7ecf-4b59-9abd-5e5912e95a9d,2026-03-27,2026-03-27,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-03-28 01:02:03 UTC,2026-03-28 01:03:11 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/345582412,https://inaturalist-open-data.s3.amazonaws.com/photos/629818500/medium.jpg,,"","",0,0,true,,3600 port of tacoma rd,47.245161,-122.387528,183,,,,183,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,Douglas Fir,Pseudotsuga menziesii,Douglas-fir,Plantae,48256,POT 15-3,Poor,None,Medium,"Good amount of foliage is browning, some branches have no foliage while some have healthy, green foliage.",Other,Cankers,None,Bark Loss,Two cankers were noted.,Not Sure,Did not see root collar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345587965,9fc31217-56b0-41b5-a5c8-8507cecd1983,2026-03-27,2026-03-27,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-03-28 01:43:50 UTC,2026-04-07 19:44:16 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/345587965,https://inaturalist-open-data.s3.amazonaws.com/photos/629829896/medium.jpg,,"","",1,0,true,,3600 port of tacoma rd,47.245161,-122.387528,183,,,,183,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,POT 12-4,Dead,None,High,"While there is foliage, it is all dead.",Other,Split Bark,Exit/Entry Holes,Bark Loss,Many holes indicating a boring insect,Other,Entire tree is out of ground. Roots and root collar is completely dead/dried,Mechanical Damage,"It seems like a person did this, or it simply was not planted properly. There seems to be a clean cut on the top of the tree.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352360124,7fbaa92b-7dd8-40ef-acc1-eea7402ec81c,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 20:34:28 UTC,2026-04-23 21:50:40 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352360124,https://inaturalist-open-data.s3.amazonaws.com/photos/643117002/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.192121,-122.325667,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,WSUP 20-6,Good,None,None,"Foliage looks healthy, actively growing",None,None,None,None,Tissue looks relatively healthy,None,Root collar also looks healthy,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352364244,f911bca3-d7e0-46df-b574-f1d26ee3c800,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 20:49:58 UTC,2026-04-23 20:53:02 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352364244,https://inaturalist-open-data.s3.amazonaws.com/photos/643124775/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.192036,-122.325542,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Western Hemlock,Tsuga heterophylla,western hemlock,Plantae,48254,WSUP 21-5,Good,None,None,"A lot more foliage growing on bottom section of tree. Otherwise, looks healthy.",None,None,None,None,Tissue looked healthy. No obvious signs of damage.,None,Did not notice any damage/disease to root collar.,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352370228,440792f2-1ddb-4321-9c7f-316a7dad546c,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 21:11:41 UTC,2026-04-23 21:51:41 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352370228,https://inaturalist-open-data.s3.amazonaws.com/photos/643136799/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.191952,-122.325366,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Shore Pine,Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 22-6,Fair,None,Low,Overall foliage looks healthy. Few spots are showing yellowing pines.,None,None,None,None,Tissue looks healthy overall despite some foliage looking unhealthy.,None,I did not notice any damage/signs of disease near or at the root collar,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352372001,7a72bca3-67ff-47ee-ac1a-09faaf2080a1,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 21:18:36 UTC,2026-04-23 21:38:24 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352372001,https://inaturalist-open-data.s3.amazonaws.com/photos/643139919/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.191888,-122.325328,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Shore Pine,Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 22-2,Poor,None,Medium,Foliage is yellowing. Some pines are dead or brown,Cracking,Split Bark,None,Bark Loss,Several sections of the tree showed signs of tissue damage. Particularly in bark either cracking or falling off.,None,I did not notice anything specific with the root collar.,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352376772,821dbac0-bc6e-4aec-b95e-9ff04eaa10b9,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 21:36:29 UTC,2026-04-23 21:37:32 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352376772,https://inaturalist-open-data.s3.amazonaws.com/photos/643148263/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.191935,-122.32528,45,,,,45,,,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Elms,Ulmus,Europese Olmbome,Plantae,53549,WSUP 23-3,Good,None,None,Foliage looks healthy and is growing.,None,None,None,None,Tissue looks to be healthy.,None,Root collar does not show any noticeable signs of disease,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352387351,e0bfdab8-3304-4551-baa0-bfabe92a0259,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 22:18:24 UTC,2026-04-23 22:19:33 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352387351,https://inaturalist-open-data.s3.amazonaws.com/photos/643167974/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.192077,-122.325752,43,,,,43,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Grand Fir,Abies grandis,grand fir,Plantae,63690,WSUP 25-6,Poor,None,Low,"Majority of foliage is yellowing/browning. Some areas are healthier than others as some growth remains,",Other,Split Bark,None,Bark Loss,Did not notice any insect feeding/activity but certain portions have lost noticeable amounts of bark.,None,Did not notice any signs of damage on or in root collar.,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
